customer_id,recency,frequency,monetary,segment,segment_label
C0066,45,32,139862.0,1,Steady/Regular
C0067,53,28,117893.0,1,Steady/Regular
C0068,18,29,123637.5,0,High Value
C0069,3,48,171321.5,3,At Risk
C0070,8,38,133690.0,0,High Value
C0071,15,62,394070.0,2,New/Occasional
C0072,2,69,337739.0,2,New/Occasional
C0073,5,28,223796.5,0,High Value
C0074,12,59,260190.5,3,At Risk
C0075,10,36,134326.0,0,High Value
C0076,23,13,65909.0,0,High Value
C0077,4,16,59105.0,0,High Value
C0078,5,56,205530.0,3,At Risk
C0079,2,63,351610.0,2,New/Occasional
C0080,10,28,132482.5,0,High Value
C0081,37,49,296979.5,3,At Risk
C0082,12,23,89204.5,0,High Value
C0083,59,55,197607.5,1,Steady/Regular
C0084,6,51,271653.5,3,At Risk
C0085,43,76,321340.5,2,New/Occasional
C0086,10,42,294247.0,3,At Risk
C0087,23,61,218723.5,3,At Risk
C0088,8,55,296213.0,3,At Risk
C0089,7,55,263551.5,3,At Risk
C0090,8,36,222128.0,3,At Risk
C0091,6,55,327256.5,2,New/Occasional
C0092,69,8,29279.5,1,Steady/Regular
C0093,9,25,114555.0,0,High Value
C0094,31,43,242038.5,3,At Risk
C0095,9,65,269014.0,3,At Risk
C0096,5,44,221902.5,3,At Risk
C0097,36,61,278103.0,3,At Risk
C0098,21,65,295277.5,2,New/Occasional
C0099,1,49,171345.5,3,At Risk
C0100,14,49,188320.5,3,At Risk
C0101,4,41,150191.5,0,High Value
C0102,20,30,111062.0,0,High Value
C0103,10,47,244490.5,3,At Risk
C0104,50,36,160585.0,1,Steady/Regular
C0105,16,51,218057.0,3,At Risk
C0106,21,61,234897.5,3,At Risk
C0107,93,34,127584.0,1,Steady/Regular
C0108,29,40,208581.0,3,At Risk
C0109,64,81,414437.0,2,New/Occasional
C0110,19,20,60044.5,0,High Value
C0111,94,35,125739.0,1,Steady/Regular
C0112,20,46,167453.5,3,At Risk
C0113,26,59,160819.0,3,At Risk
C0114,4,39,194812.0,3,At Risk
C0115,23,33,157447.5,0,High Value
C0116,34,52,304970.0,3,At Risk
C0117,6,19,93375.5,0,High Value
C0118,91,55,224393.5,1,Steady/Regular
C0119,78,9,33394.5,1,Steady/Regular
C0120,5,13,68745.0,0,High Value
C0121,104,9,55025.0,1,Steady/Regular
C0122,38,69,284214.5,2,New/Occasional
C0123,7,46,221713.0,3,At Risk
C0124,6,29,169639.0,0,High Value
C0125,5,79,461997.0,2,New/Occasional
C0126,10,32,200038.0,0,High Value
C0127,5,26,169657.5,0,High Value
C0128,8,54,304070.0,3,At Risk
C0129,28,71,325531.0,2,New/Occasional
C0130,13,13,52923.5,0,High Value
C0131,4,39,211294.0,3,At Risk
C0132,6,48,167118.0,3,At Risk
C0133,39,30,181736.5,0,High Value
C0134,31,20,104615.5,0,High Value
C0135,9,28,198225.0,0,High Value
C0136,32,50,286808.5,3,At Risk
C0137,4,52,219307.0,3,At Risk
C0138,1,38,151279.5,0,High Value
C0139,2,55,242480.5,3,At Risk
C0140,16,38,193032.5,0,High Value
C0141,4,51,283584.0,3,At Risk
C0142,1,50,238400.0,3,At Risk
C0143,19,13,76975.5,0,High Value
C0144,8,53,262793.0,3,At Risk
C0145,4,19,96979.0,0,High Value
C0146,26,31,136365.5,0,High Value
C0147,4,34,166470.0,0,High Value
C0148,15,19,86759.0,0,High Value
C0149,21,34,169134.0,0,High Value
C0150,21,30,140867.0,0,High Value
C0151,9,70,317855.5,2,New/Occasional
C0152,1,57,269950.5,3,At Risk
C0153,24,34,144583.0,0,High Value
C0154,17,28,119660.5,0,High Value
C0155,9,68,323044.5,2,New/Occasional
C0156,15,30,222391.0,0,High Value
C0157,25,61,248074.0,3,At Risk
C0158,14,61,338573.0,2,New/Occasional
C0159,14,25,164037.0,0,High Value
C0160,17,56,312135.0,3,At Risk
C0161,18,32,174597.5,0,High Value
C0162,29,53,297541.5,3,At Risk
C0163,13,54,186664.5,3,At Risk
C0164,11,31,192038.0,0,High Value
C0165,4,56,213716.5,3,At Risk
C0166,24,67,233103.5,3,At Risk
C0167,3,25,73061.0,0,High Value
C0168,6,28,127487.5,0,High Value
C0169,21,46,227979.5,3,At Risk
C0170,32,43,153773.0,0,High Value
C0171,2,40,257500.0,3,At Risk
C0172,6,29,134931.0,0,High Value
C0173,20,23,108310.0,0,High Value
C0174,16,28,150166.0,0,High Value
C0175,60,33,181682.5,1,Steady/Regular
C0176,6,83,394461.0,2,New/Occasional
C0177,2,70,324373.0,2,New/Occasional
C0178,10,86,305855.0,2,New/Occasional
C0179,6,61,328852.5,2,New/Occasional
C0180,15,25,214779.0,0,High Value
